sentence1,label,H_yb,H_yx,correct_yx,predicted_label,PVI
@user Me talking to my antidepressants,1,0.9651207911396674,0.959774837446735,True,1,0.0053459536929324
going to attempt at least to change this sour mood. It's mainly just a sense of loneliness which results in feelings of depression,1,0.9651207911396674,0.5827895034061051,True,1,0.3823312877335623
flighty sag placements make me anxioussss,0,1.0357433996255925,0.8329537243946898,True,0,0.2027896752309024
I'm going to buy cream cheese after work and sit in my bathtub and eat it. This is the stage of depression I'm at.,1,0.9651207911396674,0.8389170288095006,True,1,0.1262037623301668
My anxiety and stress levels for today are actually making me feel physically sick 😭,1,0.9651207911396674,0.5693178852142091,True,1,0.3958029059254583
"@user autumn here is just,, rain and dirt everywhere and depressing clouds krgrtwrzmzt i like spring more sorry",0,1.0357433996255925,0.6505984893291106,True,0,0.3851449102964817
Facebook is for the depressed people. Get off here with all that sad shit yo.,0,1.0357433996255925,1.0374131912514153,False,1,-0.001669791625823
@user I am depression pls do not stalks me,1,0.9651207911396674,1.23706672092977,False,0,-0.2719459297901027
#HappyBirthdayChester we miss you!! #MakeChesterProud #FuckDepression,0,1.0357433996255925,0.6957220768772878,True,0,0.3400213227483044
I have the body of a former athlete and it's depressing,0,1.0357433996255925,0.8544597643356481,True,0,0.1812836352899441
@user Don't conclude fast ! What if he is try to heal from depression,0,1.0357433996255925,0.7464627966273871,True,0,0.2892806029982051
summertime depression really do be hittin bout now,1,0.9651207911396674,0.9543514739539566,True,1,0.0107693171857108
"me vs anxiety, depression, ednos, borderline personailty disorder, bipolar",1,0.9651207911396674,0.5888048036636973,True,1,0.3763159874759701
@user im depression,1,0.9651207911396674,1.209893861628368,False,0,-0.2447730704887004
ME ENAMORE DE ANXIETY DIOOOOOOOS,0,1.0357433996255925,0.8484611108084384,True,0,0.1872822888171538
just wait until my seasonal depression is gone and it's over for u bitches,1,0.9651207911396674,0.7501718643861283,True,1,0.2149489267535391
I have the same anxieties about lighting candles as I do about putting stickers on things,0,1.0357433996255925,0.8950410731895984,True,0,0.1407023264359939
can we talk about how hard it is to stay positive while also growing up? this shit is just depressing and disappointing,0,1.0357433996255925,1.212474612841698,False,1,-0.1767312132161056
I have so much anxiety about tomorrow and I dont know why,1,0.9651207911396674,0.5828474613542527,True,1,0.3822733297854147
@user Nooo. Dogs don't sweat like us. They'll end up getting extremely stressed out and anxious if kept in a hot box like that,0,1.0357433996255925,0.681231174584621,True,0,0.3545122250409712
my anxiety and anger issues have calmed down a bit but now I feel depressed haaaaaaaaa,1,0.9651207911396674,0.7782563939569019,True,1,0.1868643971827654
i wish i had somewhere that feels like home instead of being in this depression dome,1,0.9651207911396674,0.5483986052073644,True,1,0.416722185932303
This weather makes me sad &amp; depressed:/,1,0.9651207911396674,0.7182858480042684,True,1,0.246834943135399
*anxiously refreshes Patreon*,0,1.0357433996255925,0.7668260797086598,True,0,0.2689173199169324
this anxiety shit is so trash fr... wouldn't wish it on my worst enemy,1,0.9651207911396674,0.7625315144928848,True,1,0.2025892766467826
When I look at my bank balance I just get anxiety...Lol aiy ja neh,0,1.0357433996255925,0.9093231685903254,True,0,0.1264202310352669
anxiety and i sitting in front of my laptop waiting for jintro,0,1.0357433996255925,0.8345084076525292,True,0,0.201234991973063
My ptsd so bad that flashing lights gives me anxiety 😩,1,0.9651207911396674,0.7247382246217302,True,1,0.2403825665179372
