sentence1,label
@user Me talking to my antidepressants,1
going to attempt at least to change this sour mood. It's mainly just a sense of loneliness which results in feelings of depression,1
flighty sag placements make me anxioussss,0
I'm going to buy cream cheese after work and sit in my bathtub and eat it. This is the stage of depression I'm at.,1
My anxiety and stress levels for today are actually making me feel physically sick 😭,1
"@user autumn here is just,, rain and dirt everywhere and depressing clouds krgrtwrzmzt i like spring more sorry",0
Facebook is for the depressed people. Get off here with all that sad shit yo.,0
@user I am depression pls do not stalks me,1
#HappyBirthdayChester we miss you!! #MakeChesterProud #FuckDepression,0
I have the body of a former athlete and it's depressing,0
@user Don't conclude fast ! What if he is try to heal from depression,0
summertime depression really do be hittin bout now,1
"me vs anxiety, depression, ednos, borderline personailty disorder, bipolar",1
@user im depression,1
ME ENAMORE DE ANXIETY DIOOOOOOOS,0
just wait until my seasonal depression is gone and it's over for u bitches,1
I have the same anxieties about lighting candles as I do about putting stickers on things,0
can we talk about how hard it is to stay positive while also growing up? this shit is just depressing and disappointing,0
I have so much anxiety about tomorrow and I dont know why,1
@user Nooo. Dogs don't sweat like us. They'll end up getting extremely stressed out and anxious if kept in a hot box like that,0
my anxiety and anger issues have calmed down a bit but now I feel depressed haaaaaaaaa,1
i wish i had somewhere that feels like home instead of being in this depression dome,1
This weather makes me sad &amp; depressed:/,1
*anxiously refreshes Patreon*,0
this anxiety shit is so trash fr... wouldn't wish it on my worst enemy,1
When I look at my bank balance I just get anxiety...Lol aiy ja neh,0
anxiety and i sitting in front of my laptop waiting for jintro,0
My ptsd so bad that flashing lights gives me anxiety 😩,1
What are your stress relievers? What do you do to calm anxiety? DM us to be featured in our next blog post!#wellbeing #selflove,0
i hate random sad days. Having a heavy heart and an anxious mind is the worst,1
anxiety culture is trying to google the phone number that's calling you before the call ends to see whether you should pick up or not,0
i get so anxious when buying christmas presents for claudia i want to tell her literally the second i buy it 😂😩,0
"They give me anxiety, I work with my hands all day so having nails really disables me",1
anxiety mfuckin again,1
@user @user Anxiety lol,0
Being depressed on Twitter and looking at memes makes you question life.,0
@user I share your anxiety . But I have Easy and fast  workable solutions. Inbox me for more info :kamabdu23@gmail.com,0
Well would you look at this wave of anxiety hitting me outta no where 😍,1
"yo so I stopped smoking, now I'm not depressed. Being sober is wild",0
Turning off my phone for the day cause I'm about to become so depressed that I'm not at higher visions,0
But being Brazilian these days is equal to be depressed.Ohhh...,0
yoooo i forgot that i'm meeting @user for a second.... my anxiety is back :],1
@user sending you all the anti anxiety feels Jon &lt;3,0
"@user I was still so wired, I had to take half an anti-anxiety pill (apparently this can be chemo-related). But I did sleep a bit.",1
Oral quizzes in French 102 are the leading causes my anxiety,1
@user my depression is cured,0
I'd say depressed,0
@user IM SORRY. MAYBE ITS JUST A WEIRD ANXIETY DAY FOR EVERYONE,1
@user Depression Kills,0
having an anxiety attack at 4am is p neat 😫,1
I really want to know the link between anxiety and mornings!? It's always in the mornings like beech calm yo tits down!,1
On my way to see my car. I hope its everything I dreamed of. I'm so anxious.,0
wow my supervisor was soooooo chill about my session....... lol i legit had anxiety.,1
@user You can see the guilt anxiety 20 miles away,0
lmao i love depressive episodes,1
"@user Take all that anxiety you have, and shove it in a fuck barrel.",0
How does the song link to depression? #SBSEurovision,0
I know it's a constant post. I have anxiety now. It's too much for me physically to deal with.,1
crazy how outkast cured my depression,0
Depression is so real. Life full of unending troubles really makes one think of suicide. I highly resonate with this. #BattleInMyMind,1
Challenge negative thinking. Let's end #depression together,0
Not being able to work out until March 1st is giving me anxiety 😩,1
Nothing depresses me like my way by frank sinatra,0
Worst headache ever. Can't sleep. So much anxiety,1
OH BOY OH BOY OH BOY!! WHAT A WONDERFUL DAY TO HAVE DEPRESSION!!end me pls and thank you,1
Bingo gives me anxiety af😭😭😂🤦🏽‍♀️,0
"I been feeling really depressed lately, can someone gift me a cold cut platter ?? 😭",1
i am so tired but so anxious so i can't sleep,1
Same rut is not depressed,0
I've been a lot less depressed since I graduated high school and not sure if that's a direct correlation 🤔,0
I haven't been this anxious in a minute 😩,1
i'm anxious as fuck,1
anxiety. anxiety. anxiety.,1
this cured my depression for 2.6 seconds,1
Checked ESPN app today and saw cricket highlights.I'm depressed until NBA come back on,0
@user This retrograde has really changed my perspective on my anxiety lol,1
